livre;chapitre;verset_de;verset_a;traduction;code;paragraphe
Actes;2;38;38;VGR;54-0515;218
Actes;2;38;38;VGR;54-0515;219
Actes;2;38;38;VGR;54-1219E;35
Actes;2;38;38;VGR;55-0117;88
Actes;2;38;38;VGR;57-0825E;208
Actes;2;38;38;VGR;57-0925;103
Actes;2;38;38;VGR;57-0925;105
Actes;2;38;38;VGR;57-0925;107
Actes;2;38;38;VGR;57-0925;109
Actes;2;38;38;VGR;57-0925;115
Actes;2;38;38;VGR;59-0628M;81
Actes;2;38;38;VGR;60-0626;89
Actes;2;38;38;VGR;60-1207;183
Actes;2;38;38;VGR;60-1218;403
Actes;2;38;38;VGR;60-1225;57
Actes;2;38;38;VGR;61-0108;228
Actes;2;38;38;VGR;61-0108;325
Actes;2;38;38;VGR;61-0108;333
Actes;2;38;38;VGR;61-0108;350
Actes;2;38;38;VGR;61-0112;224
Actes;2;38;38;VGR;61-0112;237
Actes;2;38;38;VGR;61-0119M;10
Actes;2;38;38;VGR;61-0319;92
Actes;2;38;38;VGR;61-0425B;163
Actes;2;38;38;VGR;61-0425B;183
Actes;2;38;38;VGR;61-0425B;209
Actes;2;38;38;VGR;61-0611;76
Actes;2;38;38;VGR;61-0723E;37
Actes;2;38;38;VGR;61-1015M;37
Actes;2;38;38;VGR;61-1015M;39
Actes;2;38;38;VGR;61-1119;305
Actes;2;38;38;VGR;62-0318M;68
Actes;2;38;38;VGR;62-0318M;403
Actes;2;38;38;VGR;62-1014E;103
Actes;2;38;38;VGR;62-1014M;164
Actes;2;38;38;VGR;62-1111E;65
Actes;2;38;38;VGR;62-1111E;67
Actes;2;38;38;VGR;63-0318;212
Actes;2;38;38;VGR;63-0320;136
Actes;2;38;38;VGR;63-0321;289
Actes;2;38;38;VGR;63-0324M;148
Actes;2;38;38;VGR;63-0421;169
Actes;2;38;38;VGR;63-0707;122
Actes;2;38;38;VGR;63-0707M;122
Actes;2;38;38;VGR;63-1124E;222
Actes;2;38;38;VGR;64-0427;198
Actes;2;38;38;VGR;65-0219;96
Actes;2;38;38;VGR;65-0221M;263
Actes;2;38;38;VGR;65-0711;156
Actes;2;38;38;VGR;65-1125;131
Actes;2;38;38;VGR;65-1125;132
Actes;2;38;38;VGR;65-1125;175
Actes;2;38;39;SKN;57-0807;82
Actes;2;39;39;SKN;60-1218;417
Actes;3;0;0;SKN;61-0409;19
Actes;4;0;0;SKN;57-0114;64
Actes;4;0;0;SKN;58-0523;28
Actes;4;0;0;SKN;59-1217;169
Actes;4;0;0;SKN;60-0228;48
Actes;4;0;0;SKN;60-1125;56
Actes;4;0;0;SKN;61-0205M;5
Actes;4;0;0;SKN;61-0414;31
Actes;4;0;0;SKN;62-0601;273
Actes;4;0;0;SKN;62-0704;93
Actes;4;0;0;SKN;63-0116;315
Actes;4;0;0;SKN;63-0608;90
Actes;4;0;0;SKN;63-0626;42
Actes;4;0;0;SKN;64-0418B;63
Actes;4;0;0;SKN;64-0629;200
Actes;4;0;0;VGR;59-1217;169
Actes;4;0;0;VGR;62-0601;273
Actes;4;0;0;VGR;63-0116;317
Actes;4;0;0;VGR;63-0608;270
Actes;4;0;0;VGR;63-0608;271
Actes;4;0;0;VGR;63-0608;319
Actes;4;0;0;VGR;64-0418B;168
Actes;4;0;0;VGR;64-0629;200
Actes;4;32;32;SKN;62-0211;165
Actes;5;0;0;SKN;52-0715;25
Actes;5;9;9;SKN;61-1112;158
Actes;5;9;9;VGR;61-1112;158
Actes;5;19;19;SKN;60-1210;139
Actes;5;32;32;SKN;60-0911E;89
Actes;5;32;32;VGR;60-0911E;89
Actes;7;0;0;SKN;62-0724;65
Actes;7;0;0;SKN;62-1014M;52
Actes;7;0;0;VGR;62-1014M;67
Actes;7;38;38;SKN;60-0911E;31
Actes;7;38;38;VGR;60-0911E;31
Actes;7;44;49;SKN;62-1111M;14
Actes;7;48;48;SKN;54-0515;218
Actes;7;48;48;VGR;54-0515;218
Actes;7;49;49;SKN;61-1217;37
Actes;7;49;49;VGR;61-1217;37
Actes;7;55;55;SKN;57-1002;440
Actes;7;55;55;VGR;57-1002;440
Actes;8;0;0;SKN;60-0807;19
Actes;8;14;14;SKN;59-1216;124
Actes;8;14;14;VGR;59-1216;124
Actes;8;18;18;SKN;59-1220E;21
Actes;8;18;18;VGR;59-1220E;20
Actes;9;0;0;SKN;60-1210;139
Actes;9;0;0;SKN;64-0830M;207
Actes;9;0;0;VGR;60-1210;248
Actes;9;0;0;VGR;64-0830M;236
Actes;9;0;0;VGR;64-0830M;237
Actes;9;5;5;SKN;60-0522M;99
Actes;9;5;5;VGR;60-0522M;99
Actes;10;0;0;SKN;55-0620;15
Actes;10;0;0;SKN;61-0409;28
Actes;10;0;0;SKN;63-0113E;226
Actes;10;0;0;VGR;63-0113E;226
Actes;10;5;5;SKN;57-0825E;150
Actes;10;5;5;VGR;57-0825E;209
Actes;10;35;35;SKN;57-1222;10
Actes;10;35;35;SKN;58-0301B;14
Actes;10;35;35;SKN;60-1225;97
Actes;10;35;35;SKN;63-1216;132
Actes;10;35;35;VGR;60-1225;124
Actes;10;44;44;SKN;59-0329M;56
Actes;10;44;44;SKN;60-0807;9
Actes;10;44;44;VGR;59-0329M;64
Actes;10;47;47;SKN;64-0823M;62
Actes;10;47;47;VGR;64-0823M;62
Actes;10;48;48;SKN;62-0318E;1
Actes;10;48;48;VGR;62-0318M;404
Actes;10;49;49;SKN;53-0327;42
Actes;10;49;49;SKN;54-0103M;42
Actes;10;49;49;SKN;54-0515;112
Actes;10;49;49;SKN;54-0515;218
Actes;10;49;49;SKN;55-0117;88
Actes;10;49;49;SKN;55-0806;54
Actes;10;49;49;SKN;57-0825E;150
Actes;10;49;49;SKN;57-0925;111
Actes;10;49;49;SKN;58-0323;47
Actes;10;49;49;SKN;58-0523;38
Actes;10;49;49;SKN;58-0612;19
Actes;10;49;49;SKN;60-0807;9
Actes;10;49;49;SKN;60-0807;19
Actes;10;49;49;SKN;61-0118;60
Actes;10;49;49;SKN;61-0224;45
Actes;10;49;49;SKN;61-0425B;251
Actes;10;49;49;SKN;62-0704;122
Actes;10;49;49;SKN;62-0724;65
Actes;10;49;49;SKN;62-1014M;164
Actes;10;49;49;SKN;63-0604;90
Actes;10;49;49;SKN;63-0608;82
Actes;10;49;49;SKN;64-1212;171
Actes;10;49;49;SKN;65-0418M;177
Actes;10;49;49;SKN;65-0801M;199
Actes;10;49;49;VGR;54-0103M;42
Actes;10;49;49;VGR;54-0515;112
Actes;10;49;49;VGR;54-0515;218
Actes;10;49;49;VGR;55-0117;88
Actes;10;49;49;VGR;57-0825E;208
Actes;10;49;49;VGR;57-0925;111
Actes;10;49;49;VGR;61-0425B;252
Actes;10;49;49;VGR;62-1014M;214
Actes;10;49;49;VGR;63-0608;237
Actes;10;49;49;VGR;65-0418M;177
Actes;10;49;49;VGR;65-0801M;199
Actes;15;0;0;SKN;60-1210;139
Actes;15;0;0;SKN;63-0322;236
Actes;15;0;0;VGR;60-1210;262
Actes;15;0;0;VGR;63-0322;236
Actes;15;14;14;SKN;60-1210;139
Actes;15;14;14;SKN;61-0806;195
Actes;15;14;14;SKN;63-0322;236
Actes;15;14;14;VGR;60-1210;262
Actes;15;14;14;VGR;61-0806;195
Actes;15;14;14;VGR;63-0322;236
Actes;16;31;31;SKN;63-0901M;366
Actes;16;31;31;SKN;63-1128E;169
Actes;16;31;31;SKN;64-0208;128
Actes;16;31;31;SKN;64-0308;135
Actes;16;31;31;VGR;63-0901M;366
Actes;16;31;31;VGR;64-0208;128
Actes;16;31;31;VGR;64-0308;135
Actes;18;0;0;SKN;59-1217;61
Actes;18;0;0;VGR;59-1217;61
Actes;19;0;0;SKN;51-0509;56
Actes;19;0;0;SKN;51-0720;54
Actes;19;0;0;SKN;51-0722E;12
Actes;19;0;0;SKN;51-0727;58
Actes;19;0;0;SKN;51-0729E;26
Actes;19;0;0;SKN;51-0923;73
Actes;19;0;0;SKN;52-0713A;7
Actes;19;0;0;SKN;52-0900;172
Actes;19;0;0;SKN;53-0328;43
Actes;19;0;0;SKN;53-0531;31
Actes;19;0;0;SKN;53-0604;5
Actes;19;0;0;SKN;53-0608A;52
Actes;19;0;0;SKN;53-0613;14
Actes;19;0;0;SKN;53-0729;198
Actes;19;0;0;SKN;53-1104;24
Actes;19;0;0;SKN;53-1115E;30
Actes;19;0;0;SKN;53-1201;3
Actes;19;0;0;SKN;53-1205;102
Actes;19;0;0;SKN;54-0103M;44
