ref;traduction;code;paragraphe;nb_mots;mots
Jean 14:9;SKN;52-0720E;23;4;connu mas montre philippe
Matthieu 3:16;SKN;52-0725;55;4;ayant descendre leau vit
Amos 3:7;SKN;52-0725;68;4;prophetes revele secret serviteurs
Matthieu 1:18;SKN;52-0809;3;4;etant fiancee joseph marie
Joel 2:28;SKN;52-0809;12;9;arrivera chair filles jeunes prophetiseront repandrai songes vieillards visions
Apocalypse 5:9;SKN;52-0810A;5;4;digne immole ouvrir sceaux
Jean 5:24;SKN;52-0810E;58;5;croit entend envoye eternelle jugement
Esaie 53:5;SKN;52-0817A;43;5;blesse gueris iniquites meurtrissures paix
Esaie 40:3;SKN;52-0900;7;4;chemin desert leternel route
Jean 5:24;SKN;52-0900;10;4;croit envoye eternelle jugement
Genese 22:14;SKN;52-0900;72;4;appela jehovah jire leternel
Actes 1:8;SKN;52-0900;193;5;jerusalem judee samarie serez temoins
Esaie 53:5;SKN;53-0215;11;6;blesse chatiment gueris iniquites meurtrissures paix
Esaie 9:6;SKN;53-0325;31;4;fort merveilleux paix prince
Joel 2:28;SKN;53-0325;31;4;chair jeunes songes visions
Genese 1:26;SKN;53-0325;31;6;animal cieux faisons image oiseaux selon
Actes 1:8;SKN;53-0325;31;4;bout jerusalem serez venant
Hebreux 1:1;SKN;53-0325;31;5;ayant manieres peres plusieurs reprises
Actes 2:4;SKN;53-0325;31;5;commencerent donnait langues remplis selon
Apocalypse 10:1;SKN;53-0325;31;4;ange puissant soleil visage
Matthieu 1:18;SKN;53-0325;31;8;arriva ensemble etant joseph marie naissance soient trouva
Apocalypse 10:7;SKN;53-0325;31;5;ange annonce nouvelle termine voix
Apocalypse 10:1-7;SKN;53-0325;31;4;ange puissant soleil visage
1 Timothee 3:16;SKN;53-0325;31;6;anges chair cru eleve nations piete
Hebreux 9:11;SKN;53-0325;31;4;biens etant parfait tabernacle
Apocalypse 17:8;SKN;53-0325;31;7;bete ecrits fondation noms perdition voyant vue
Genese 1:11;SKN;53-0325;31;5;ayant espece portant selon semence
Nombres 12:6;SKN;53-0325;31;5;connaitre ferai paroles songe vision
Apocalypse 3:14;SKN;53-0325;31;4;commencement fidele laodicee veritable
Apocalypse 13:14;SKN;53-0325;31;5;bete fut image miracles seduit
Genese 3:16;SKN;53-0325;31;5;desir grandes rendrai tes tourne
Esaie 40:3;SKN;53-0325;31;5;chemin crie desert route voix
Apocalypse 17:15;SKN;53-0325;31;5;assise eaux langues nations peuples
Luc 16:16;SKN;53-0325;31;4;annonce loi lors royaume
Esaie 61:1;SKN;53-0325;31;5;apporter bonnes brise envoye nouvelles
Apocalypse 19:21;SKN;53-0325;31;5;bouche chair fut oiseaux tue
Ephesiens 2:12;SKN;53-0325;31;5;alliances droit etant etiez israel
Matthieu 27:51;SKN;53-0325;31;5;dechira rochers temple trembla voile
Apocalypse 17:17;SKN;53-0325;31;6;bete curs donner paroles royaume soient
Matthieu 11:10;SKN;53-0325;31;4;chemin ecrit face lequel
Apocalypse 6:6;SKN;53-0325;31;4;animaux mesure milieu voix
Apocalypse 6:11;SKN;53-0325;31;6;blanche devaient fut reposent robe soient
Apocalypse 21:19;SKN;53-0325;31;4;fondement jaspe premier troisieme
Apocalypse 17:3;SKN;53-0325;31;7;assise ayant bete desert noms pleine sept
Jean 12:24;SKN;53-0325;31;4;ble demeure grain meurt
Ezechiel 28:12;SKN;53-0325;31;7;accomplie eleve etais forme perfection plein roi
Apocalypse 20:4;SKN;53-0325;31;4;bete fut image temoignage
Apocalypse 19:11;SKN;53-0325;31;4;appele fidele justice veritable
Luc 21:24;SKN;53-0325;31;4;jerusalem nations seront tranchant
Matthieu 18:10;SKN;53-0325;31;5;anges cieux face prenez voient
Malachie 3:1;SKN;53-0325;31;4;chemin prenez temple viendra
Apocalypse 16:13;SKN;53-0325;31;4;bete bouche esprits faux
Esaie 50:6;SKN;53-0325;31;5;cache crachats dos face poil
Esaie 53:9;SKN;53-0325;31;4;aucune bouche donna mechants
Esaie 53:12;SKN;53-0325;31;5;ame aura compte grands plusieurs
Zacharie 11:12;SKN;53-0325;31;4;donnez laissez pieces sinon
