ref;traduction;code;paragraphe;nb_mots;mots
Luc 7:43;SKN;50-0820E;27;2;juge quitte
Luc 11:24;SKN;50-0820E;31;2;cherchant sorti
Luc 18:41;SKN;50-0820E;34;2;recouvre vue
Luc 18:42;SKN;50-0820E;34;2;recouvre vue
Luc 18:41;SKN;50-0820E;36;2;recouvre vue
Luc 18:42;SKN;50-0820E;36;2;recouvre vue
Luc 7:38;SKN;50-0820E;62;2;cheveux pleurant
Luc 7:43;SKN;50-0821;7;2;davantage quitte
Luc 3:16;SKN;50-0821;9;2;digne leau
Luc 18:41;SKN;50-0821;15;2;recouvre vue
Luc 18:42;SKN;50-0821;15;2;recouvre vue
Luc 18:42;SKN;50-0821;24;2;gueri recouvre
Luc 11:24;SKN;50-0821;25;2;lieux sorti
Luc 10:11;SKN;50-0821;35;2;approche pieds
Luc 11:31;SKN;50-0821;41;2;levera salomon
Luc 17:20;SKN;50-0821;43;2;interroge repondit
Luc 10:11;SKN;50-0821;53;2;royaume sachez
Luc 17:7;SKN;50-0821;57;2;mets suite
Luc 18:41;SKN;50-0821;70;2;recouvre vue
Luc 17:14;SKN;50-0821;73;2;sen voyant
Luc 18:43;SKN;50-0821;73;2;voyant vue
Luc 24:47;SKN;50-0822;26;2;peches repentance
Luc 7:47;SKN;50-0822;27;2;pardonnes peches
Luc 5:8;SKN;50-0822;31;2;pecheur retire
Luc 24:19;SKN;50-0822;38;2;celles puissant
Luc 19:4;SKN;50-0823;3;2;courant passer
Luc 7:27;SKN;50-0823;21;2;ecrit messager
Luc 7:39;SKN;50-0823;24;2;touche voyant
Luc 17:14;SKN;50-0823;24;2;sen voyant
Luc 24:12;SKN;50-0823;29;2;sen seuls
Luc 24:44;SKN;50-0823;33;2;accomplies disais
Luc 7:36;SKN;50-0823;51;2;manger table
Luc 7:49;SKN;50-0823;51;2;peches table
Luc 7:47;SKN;50-0823;53;2;pardonnes peches
Luc 7:48;SKN;50-0823;53;2;pardonnes peches
Luc 2:10;SKN;50-0823;57;2;nayez peur
Luc 7:38;SKN;50-0824;21;2;larmes tenant
Luc 17:7;SKN;50-0827A;7;2;ayant champs
Luc 24:47;SKN;50-0827A;11;2;peches repentance
Luc 24:28;SKN;50-0827A;22;2;allaient loin
Luc 7:37;SKN;50-0827A;23;2;plein table
Luc 7:36;SKN;50-0827A;28;2;manger table
Luc 7:38;SKN;50-0827A;34;2;pleurant tenant
Luc 17:14;SKN;50-0827A;34;2;arriva sen
Luc 10:7;SKN;50-0827A;40;2;digne mangeant
Luc 24:47;SKN;50-0827A;45;2;peches repentance
Luc 1:80;SKN;50-0827E;5;2;fut lenfant
Luc 2:26;SKN;50-0827E;5;2;nait premierement
Luc 2:27;SKN;50-0827E;5;2;parents selon
Luc 2:34;SKN;50-0827E;5;2;lon plusieurs
Luc 7:37;SKN;50-0827E;5;2;parfum plein
Luc 7:42;SKN;50-0827E;5;2;lequel navaient
Luc 7:46;SKN;50-0827E;5;2;oint parfum
Luc 11:24;SKN;50-0827E;5;2;dou repos
Luc 17:20;SKN;50-0827E;5;2;etant viendrait
Luc 17:22;SKN;50-0827E;5;2;disciples viendront
Luc 18:43;SKN;50-0827E;5;2;voyant vue
Luc 24:5;SKN;50-0827E;5;2;cherchez vivant
Luc 24:6;SKN;50-0827E;5;2;parla souvenez
Luc 24:7;SKN;50-0827E;5;2;crucifie pecheurs
Luc 2:4;SKN;51-0413;8;2;galilee judee
Luc 19:5;SKN;51-0413;8;2;descends vit
Luc 2:4;SKN;51-0413;9;2;galilee judee
Luc 7:38;SKN;51-0413;14;2;larmes pieds
Luc 7:44;SKN;51-0413;14;2;larmes pieds
Luc 10:11;SKN;51-0413;14;2;pieds poussiere
Luc 17:15;SKN;51-0413;46;2;glorifiant gueri
Luc 7:38;SKN;51-0413;47;2;cheveux tenant
Luc 3:16;SKN;51-0413;53;2;baptise digne
Luc 7:7;SKN;51-0413;53;2;digne serviteur
Luc 21:24;SKN;51-0413;53;2;captifs seront
Luc 16:22;SKN;51-0414;4;2;fut mourut
Luc 24:47;SKN;51-0414;6;2;repentance soient
Luc 7:49;SKN;51-0414;26;2;memes table
Luc 17:15;SKN;51-0414;29;2;gueri voyant
Luc 17:22;SKN;51-0414;33;2;verrez viendront
Luc 17:15;SKN;51-0414;38;2;gueri voyant
Luc 24:1;SKN;51-0415A;1;2;prepares semaine
Luc 17:14;SKN;51-0415A;24;2;allant quen
Luc 24:30;SKN;51-0415A;25;2;pain table
Luc 7:36;SKN;51-0415A;26;2;manger table
Luc 24:30;SKN;51-0415A;26;2;pain table
Luc 24:28;SKN;51-0415A;30;2;allaient allait
Luc 24:9;SKN;51-0415A;50;2;laissant sen
Luc 1:80;SKN;51-0415A;53;2;fut lenfant
Luc 16:22;SKN;51-0415A;80;2;fut mourut
Luc 19:4;SKN;51-0415A;85;2;courant passer
Luc 17:7;SKN;51-0415A;88;2;avance betail
Luc 10:11;SKN;51-0415A;108;2;attachee poussiere
Luc 2:4;SKN;51-0415E;12;2;galilee judee
Luc 24:47;SKN;51-0415E;12;2;commencant jerusalem
Luc 24:21;SKN;51-0415E;20;2;delivrer israel
