ref;traduction;code;paragraphe;statut;note
Jean 5:0;SKN;58-0214;42;VALIDE;chap->v.19: jesus verite verite dis fils rien lui meme
Jean 12:20;SKN;58-0214;19;VALIDE;avait quelques grecs ceux etaient montes adorer pendant
Jean 14:7;SKN;58-0214;26;PARTIEL;commencé, pas achevé — pere maintenant
Jean 15:0;SKN;58-0214;26;VALIDE;chap->v.5: moi suis cep sarments celui moi moi lui
1 Corinthiens 12:0;SKN;58-0223;11;VALIDE;chap->v.12: meme corps quil corps seul corps ainsi christ
Hebreux 13:8;SKN;58-0223;16;VALIDE;jesus christ meme hier aujourdhui eternellement
Jean 1:0;SKN;58-0223;45;VALIDE;chap->v.30: cest moi apres moi homme avant moi etait
Jean 4:0;SKN;58-0223;65;VALIDE;chap->v.50: jesus lui fils parole jesus lui avait sen
Jean 5:0;SKN;58-0223;42;VALIDE;chap->v.19: jesus verite verite dis fils rien lui meme
Jean 5:19;SKN;58-0223;43;EXACT;jesus verite dis fils rien lui meme quil [couverture 12/14]
Matthieu 10:0;SKN;58-0223;37;VALIDE;chap->v.37: celui pere moi nest moi celui fils moi
Psaumes 103:3;SKN;58-0223;12;VALIDE;cest lui tes guerit
1 Corinthiens 12:0;SKN;58-0312;53;VALIDE;chap->v.3: cest pourquoi fais nul homme lesprit dieu jesus
Jean 1:0;SKN;58-0312;33;VALIDE;chap->v.41: andre frere simon pierre etait deux avaient lui
Jean 1:0;SKN;58-0312;35;VALIDE;chap->v.47: nathanael lui venir quelque chose bon nazareth philippe
Jean 5:19;SKN;58-0312;50;EXACT;jesus verite dis fils rien lui meme quil [couverture 5/14]
Jean 5:19;SKN;58-0312;51;EXACT;jesus verite dis fils rien lui meme quil [couverture 5/14]
Jean 11:0;SKN;58-0312;47;VALIDE;chap->v.51: cela lui meme souverain sacrificateur annee jesus nation
Jean 15:0;SKN;58-0312;30;VALIDE;chap->v.2: sarment porte fruit sarment porte fruit quil porte
Psaumes 103:3;SKN;58-0312;20;VALIDE;cest lui tes guerit
1 Corinthiens 12:0;SKN;59-0422;53;VALIDE;chap->v.15: parce suis main suis corps qua cela nest
Hebreux 13:8;SKN;59-0422;12;VALIDE;jesus christ meme hier aujourdhui eternellement
Jean 4:0;SKN;59-0422;32;VALIDE;chap->v.50: jesus lui fils vit lhomme parole jesus lui
Jean 4:0;SKN;59-0422;60;VALIDE;chap->v.50: jesus lui fils parole jesus lui avait dite
Jean 5:0;SKN;59-0422;60;VALIDE;chap->v.19: jesus dis fils rien lui meme quil voie
Jean 5:19;SKN;59-0422;22;EXACT;jesus verite dis fils rien lui meme quil [couverture 6/14]
Jean 5:19;SKN;59-0422;56;EXACT;jesus verite dis fils rien lui meme quil [couverture 7/14]
Jean 6:0;SKN;59-0422;32;VALIDE;chap->v.22: etait lautre cote quil avait dautre petit celui
Marc 16:0;SKN;59-0422;76;VALIDE;chap->v.16: celui cru sera sauve celui cru sera
Matthieu 10:0;SKN;59-0422;31;VALIDE;chap->v.25: disciple quil maitre quil ont appele maitre maison
1 Corinthiens 12:0;SKN;59-0814;63;VALIDE;chap->v.10: autre autre prophetie autre autre langues autre linterpretation
Psaumes 46:1;SKN;59-0814;14;VALIDE;dieu refuge secours
Psaumes 119:56;SKN;59-0814;14;VALIDE;cela jai tes preceptes
1 Corinthiens 12:0;SKN;59-0823;126;VALIDE;chap->v.3: cest pourquoi fais savoir nul homme lesprit dieu
1 Corinthiens 13:0;SKN;59-0823;112;VALIDE;chap->v.13: maintenant foi lamour cest lamour
