ref;traduction;code;paragraphe;statut;cadre;note
Jean 11:51;SKN;58-0312;47;VALIDE;CONCEPT;chapitre résolu v51 (3 mots: nation sacrificateur souverain)
Jean 15:4;SKN;58-0312;30;VALIDE;CONCEPT;chapitre résolu v4 (3 mots: cep porter sarment)
Psaumes 103:3;SKN;58-0312;20;VALIDE;CONCEPT;cest lui tes guerit
1 Corinthiens 12:28;SKN;59-0422;53;VALIDE;CONCEPT;chapitre résolu v28 (5 mots: apotres dabord docteurs dons prophetes)
1 Corinthiens 12:29;SKN;59-0422;53;VALIDE;CONCEPT;chapitre résolu v29 (3 mots: apotres docteurs prophetes)
Hebreux 13:8;SKN;59-0422;12;VALIDE;CONCEPT;jesus christ meme hier aujourdhui eternellement
Jean 4:7;SKN;59-0422;32;VALIDE;CONCEPT;chapitre résolu v7 (4 mots: boire leau puiser samarie)
Jean 4:9;SKN;59-0422;32;VALIDE;CONCEPT;chapitre résolu v9 (6 mots: boire juif juifs relations samaritaine samaritains)
Jean 4:10;SKN;59-0422;32;VALIDE;CONCEPT;chapitre résolu v10 (3 mots: boire connaissais leau)
Jean 4:11;SKN;59-0422;32;VALIDE;CONCEPT;chapitre résolu v11 (4 mots: eau nas puiser puits)
Jean 4:25;SKN;59-0422;32;VALIDE;CONCEPT;chapitre résolu v25 (3 mots: appele connaitre messie)
Jean 4:33;SKN;59-0422;32;VALIDE;CONCEPT;chapitre résolu v33 (3 mots: apporte aurait disciples)
