ref;traduction;code;paragraphe;statut;raison
Malachie 4:0;SKN;64-0705;170;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
2 Pierre 2:4-2;SKN;57-1006;610;VERSET-ABSENT-BIBLE;référence inexistante, hypothèse faible
2 Pierre 4:0;SKN;57-1006;619;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 21:19;SKN;57-1006;669;VERSET-ABSENT-BIBLE;référence inexistante, hypothèse faible
Romains 26:0;SKN;64-0823M;188;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;SKN;64-0401;195;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 1:4;SKN;63-0321;151;REJETE;passage absent, idée absente
Malachie 4:0;SKN;63-0321;275;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;SKN;63-0321;351;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Apocalypse 2:6;SKN;63-0319;263;REJETE;passage absent, idée absente
Daniel 8:23;SKN;63-0318;354;REJETE;passage absent, idée absente
Malachie 4:0;SKN;63-0318;210;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
2 Timothee 2:0;SKN;60-1218;213;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;SKN;63-0707M;274;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;SKN;64-0726M;78;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;SKN;64-0830E;153;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 60:0;SKN;56-1125M;24;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esaie 4:0;SKN;54-0103M;1;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esaie 4:24;SKN;54-0103M;1;VERSET-ABSENT-BIBLE;référence inexistante, hypothèse faible
Esaie 5:24;SKN;54-0103M;1;REJETE;passage absent, idée absente
Esther 11:0;SKN;55-0806;68;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 16:0;SKN;59-1115;46;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 21:0;SKN;61-0808;5;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 22:0;SKN;61-0808;78;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esaie 32:0;SKN;65-0123;184;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esaie 4:0;VGR;54-0103M;1;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esaie 4:24;VGR;54-0103M;1;VERSET-ABSENT-BIBLE;référence inexistante, hypothèse faible
Malachie 4:0;VGR;63-0320;177;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;VGR;63-0324M;330;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esaie 32:0;VGR;65-0123;186;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Luc 1:17;SKN;61-0112;455;REJETE;passage absent, idée absente
Luc 1:17;SKN;61-0112;456;REJETE;passage absent, idée absente
Actes 2:4;SKN;61-0424;82;REJETE;passage absent, idée absente
Actes 2:4;SKN;61-0424;84;REJETE;passage absent, idée absente
Malachie 4:0;SKN;65-0124;112;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Jean 14:7;SKN;60-1204M;149;REJETE;passage absent, idée absente
Jean 14:7;VGR;60-1204M;146;REJETE;passage absent, idée absente
Esther 16:0;SKN;57-0127A;72;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Apocalypse 4:0;SKN;61-0108;50;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Apocalypse 11:13;SKN;61-0108;252;REJETE;passage absent, idée absente
Apocalypse 11:13;SKN;61-0108;258;REJETE;passage absent, idée absente
Ezechiel 1:8;SKN;61-0108;259;REJETE;passage absent, idée absente
Marc 16:0;SKN;61-0108;345;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 14:0;SKN;62-0318E;1;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 16:0;SKN;62-0318E;1;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Jude 8:0;SKN;62-0318E;1;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
